"","Total","Taxon","Scenario","Nutrients"
"1",6.706e-05,"japon","low","low"
"2",6.108e-05,"japon","low","low"
"3",6.082e-05,"japon","high","high"
"4",6.674e-05,"japon","high","high"
"5",6.318e-05,"japon","high","high"
"6",6.131e-05,"japon","high","high"
"7",6.471e-05,"bohem","high","high"
"8",6.106e-05,"bohem","high","high"
"9",6.42e-05,"bohem","high","high"
"10",6.855e-05,"bohem","high","high"
"11",6.66e-05,"bohem","high","high"
"12",7.482e-05,"bohem","high","high"
"13",6.606e-05,"japon","gradual","high"
"14",6.701e-05,"japon","gradual","high"
"15",7.041e-05,"japon","gradual","high"
"16",6.343e-05,"japon","gradual","high"
"17",7.705e-05,"japon","gradual","high"
"18",6.179e-05,"japon","gradual","high"
"19",6.256e-05,"bohem","gradual","high"
"20",6.954e-05,"bohem","gradual","high"
"21",7.591e-05,"bohem","gradual","high"
"22",6.497e-05,"bohem","gradual","high"
"23",6.071e-05,"bohem","gradual","high"
"24",6.744e-05,"japon","extreme","high"
"25",7.774e-05,"japon","extreme","high"
"26",6.568e-05,"japon","extreme","high"
"27",7.107e-05,"japon","extreme","high"
"28",6.77e-05,"bohem","extreme","high"
"29",6.086e-05,"bohem","extreme","high"
"30",6.219e-05,"bohem","extreme","high"
"31",6.553e-05,"bohem","extreme","high"
"32",6.089e-05,"bohem","extreme","high"
"33",6.037e-05,"bohem","extreme","high"
"34",6.786e-05,"bohem","extreme","high"
"35",6.9e-05,"japon","fluctuations","high"
"36",6.54e-05,"japon","fluctuations","high"
"37",6.308e-05,"japon","fluctuations","high"
"38",6.093e-05,"japon","fluctuations","high"
"39",6.873e-05,"japon","fluctuations","high"
"40",6.988e-05,"japon","fluctuations","high"
"41",6.948e-05,"japon","fluctuations","high"
"42",6.68e-05,"bohem","fluctuations","high"
"43",6.296e-05,"bohem","fluctuations","high"
"44",7.88e-05,"bohem","fluctuations","high"
"45",6.425e-05,"bohem","fluctuations","high"
